               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12246,            0.050945,                   0,                   0,                   0,                   0,                   0,             0.11516,            0.047201,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12783,             0.05023,                   0,                   0,                   0,                   0,                   0,              0.1152,            0.046515,                   0,            0.097299,          0.00029851,          0.00029851
                   2,             0.12458,            0.053488,                   0,                   0,                   0,                   0,                   0,             0.11518,             0.04588,                   0,            0.095495,          0.00049505,          0.00049505
                   3,             0.12502,            0.057923,                   0,                   0,                   0,                   0,                   0,             0.11523,            0.045221,                   0,             0.09369,           0.0006896,           0.0006896
                   4,             0.11975,            0.050906,                   0,                   0,                   0,                   0,                   0,             0.11488,            0.044964,                   0,            0.091882,          0.00088218,          0.00088218
                   5,             0.12335,            0.058277,                   0,                   0,                   0,                   0,                   0,             0.11439,            0.044842,                   0,            0.090073,           0.0010728,           0.0010728
                   6,             0.12252,            0.058078,                   0,                   0,                   0,                   0,                   0,             0.11382,            0.044747,                   0,            0.088261,           0.0012614,           0.0012614
                   7,             0.11949,            0.049951,                   0,                   0,                   0,                   0,                   0,             0.11302,            0.044787,                   0,            0.086448,            0.001448,            0.001448
                   8,              0.1192,            0.059025,                   0,                   0,                   0,                   0,                   0,             0.11192,            0.044913,                   0,            0.084633,           0.0016327,           0.0016327
                   9,             0.11589,            0.053985,                   0,          0.00083333,            0.047619,          0.00074251,          7.4251e-05,             0.11019,            0.045502,                   0,            0.082815,           0.0018154,           0.0018154
                  10,             0.11889,            0.057626,                   0,          0.00083333,            0.047619,          0.00069312,          6.9312e-05,             0.10838,            0.046216,                   0,            0.080996,            0.001996,            0.001996
                  11,             0.11838,            0.067812,                   0,          0.00083333,            0.047619,          0.00069312,          6.9312e-05,             0.10838,            0.046216,                   0,            0.079175,           0.0021748,           0.0021748
                  12,             0.11667,            0.057879,                   0,          0.00083333,            0.047619,          0.00062859,          0.00012572,             0.10646,            0.046879,                   0,            0.077352,           0.0023515,           0.0023515
                  13,             0.11576,            0.058234,                   0,          0.00083333,            0.047619,          0.00056505,          0.00011301,             0.10435,            0.047766,                   0,            0.075526,           0.0025263,           0.0025263
                  14,             0.11151,            0.052646,                   0,          0.00083333,            0.047619,          0.00056505,          0.00011301,             0.10435,            0.047766,                   0,            0.073699,            0.002699,            0.002699
                  15,             0.11568,             0.06199,                   0,          0.00083333,            0.047619,          0.00055801,           0.0001674,             0.10271,            0.048392,                   0,             0.07187,           0.0028698,           0.0028698
                  16,             0.11582,            0.062604,                   0,          0.00083333,            0.047619,          0.00052435,           0.0001573,             0.10087,            0.049182,                   0,            0.070039,           0.0030386,           0.0030386
                  17,             0.11204,            0.057567,                   0,          0.00083333,            0.047619,          0.00052435,           0.0001573,             0.10087,            0.049182,                   0,            0.068205,           0.0032055,           0.0032055
                  18,              0.1108,            0.054934,                   0,          0.00083333,            0.047619,          0.00050666,            0.000152,            0.099131,            0.049823,                   0,             0.06637,           0.0033703,           0.0033703
                  19,             0.11373,            0.063201,                   0,          0.00083333,            0.047619,          0.00050666,            0.000152,            0.099131,            0.049823,                   0,            0.064533,           0.0035332,           0.0035332
                  20,             0.11076,            0.059625,                   0,          0.00083333,            0.047619,          0.00049334,          9.8668e-05,            0.097855,            0.050253,                   0,            0.062694,           0.0036941,           0.0036941
                  21,             0.11075,            0.070082,                   0,          0.00083333,            0.047619,          0.00049334,          9.8668e-05,            0.097855,            0.050253,                   0,            0.060853,            0.003853,            0.003853
                  22,             0.10773,            0.056842,                   0,           0.0016667,            0.095238,          0.00096711,          0.00019342,            0.096629,            0.050536,                   0,             0.05901,           0.0040099,           0.0040099
                  23,             0.10725,            0.081775,                   0,           0.0016667,            0.095238,          0.00096711,          0.00019342,            0.096629,            0.050536,                   0,            0.057165,           0.0041649,           0.0041649
                  24,             0.11006,            0.061624,                   0,           0.0016667,            0.095238,           0.0010336,          0.00019514,            0.096267,            0.050416,                   0,            0.055318,           0.0043179,           0.0043179
                  25,             0.10589,            0.055018,                   0,           0.0016667,            0.095238,           0.0010336,          0.00019514,            0.096267,            0.050416,                   0,            0.053469,           0.0044689,           0.0044689
                  26,             0.10686,            0.052884,                   0,           0.0016667,            0.095238,           0.0010336,          0.00019514,            0.096267,            0.050416,                   0,            0.051618,           0.0046179,           0.0046179
                  27,             0.10425,            0.052399,                   0,           0.0033333,             0.19048,           0.0021255,          0.00041222,            0.094931,            0.050472,                   0,            0.049765,           0.0047649,           0.0047649
                  28,             0.10366,            0.066267,                   0,           0.0033333,             0.19048,           0.0021255,          0.00041222,            0.094931,            0.050472,                   0,             0.04791,             0.00491,             0.00491
                  29,             0.10476,            0.065315,                   0,           0.0033333,             0.19048,           0.0023273,          0.00039367,              0.0925,            0.050631,                   0,            0.046053,           0.0050531,           0.0050531
                  30,             0.10505,            0.073803,                   0,           0.0033333,             0.19048,           0.0023273,          0.00039367,              0.0925,            0.050631,                   0,            0.044194,           0.0051941,           0.0051941
                  31,             0.10321,            0.066036,                   0,           0.0033333,             0.19048,           0.0023273,          0.00039367,              0.0925,            0.050631,                   0,            0.042333,           0.0053333,           0.0053333
                  32,             0.10355,            0.073569,                   0,               0.005,             0.28571,           0.0036432,          0.00084576,            0.091818,            0.049696,                   0,             0.04047,           0.0054704,           0.0054704
                  33,             0.10941,            0.079002,                   0,               0.005,             0.28571,           0.0036432,          0.00084576,            0.091818,            0.049696,                   0,            0.038606,           0.0056056,           0.0056056
                  34,             0.10062,            0.051233,                   0,               0.005,             0.28571,           0.0036432,          0.00084576,            0.091818,            0.049696,                   0,            0.036739,           0.0057387,           0.0057387
                  35,            0.099395,            0.059102,                   0,           0.0066667,             0.38095,           0.0056471,           0.0010302,            0.091125,            0.049056,                   0,             0.03487,           0.0058699,           0.0058699
                  36,             0.10121,            0.063376,                   0,           0.0066667,             0.38095,           0.0056471,           0.0010302,            0.091125,            0.049056,                   0,            0.032999,           0.0059991,           0.0059991
                  37,             0.10246,            0.064148,                   0,           0.0066667,             0.38095,           0.0056471,           0.0010302,            0.091125,            0.049056,                   0,            0.031126,           0.0061264,           0.0061264
                  38,             0.10089,            0.062673,                   0,           0.0091667,             0.52381,            0.012079,           0.0027918,            0.090117,            0.048709,                   0,            0.029252,           0.0062516,           0.0062516
                  39,             0.10211,            0.066101,                   0,           0.0091667,             0.52381,            0.012079,           0.0027918,            0.090117,            0.048709,                   0,            0.027375,           0.0063749,           0.0063749
                  40,            0.099701,            0.058312,                   0,           0.0091667,             0.52381,            0.012079,           0.0027918,            0.090117,            0.048709,                   0,            0.025496,           0.0064962,           0.0064962
                  41,            0.097733,            0.067954,                   0,           0.0083333,             0.47619,            0.021207,           0.0031709,            0.088282,            0.049121,                   0,            0.023616,           0.0066155,           0.0066155
                  42,            0.097009,            0.053587,                   0,           0.0083333,             0.47619,            0.021207,           0.0031709,            0.088282,            0.049121,                   0,            0.021733,           0.0067329,           0.0067329
                  43,             0.10159,            0.061248,                   0,           0.0083333,             0.47619,            0.021207,           0.0031709,            0.088282,            0.049121,                   0,            0.019848,           0.0068482,           0.0068482
                  44,              0.1048,            0.057157,                   0,           0.0083333,             0.47619,            0.021207,           0.0031709,            0.088282,            0.049121,                   0,            0.017962,           0.0069616,           0.0069616
                  45,             0.10699,            0.059242,                   0,            0.013333,              0.7619,            0.064427,            0.011152,            0.086998,            0.048877,                   0,            0.016073,            0.007073,            0.007073
                  46,             0.10124,            0.067983,                   0,            0.013333,              0.7619,            0.064427,            0.011152,            0.086998,            0.048877,                   0,            0.014182,           0.0071824,           0.0071824
                  47,            0.098937,            0.053206,                   0,            0.013333,              0.7619,            0.064427,            0.011152,            0.086998,            0.048877,                   0,             0.01229,           0.0072898,           0.0072898
                  48,            0.098005,            0.073971,                   0,            0.013333,              0.7619,            0.064427,            0.011152,            0.086998,            0.048877,                   0,            0.010395,           0.0073953,           0.0073953
